id,game,seq,conceptId,lessonId,name
1,reflex,1,,1,Upper Case Letters
2,reflex,2,,2,Lower Case Letters
3,bingo,1,,1,Upper Case Letters
4,bingo,2,,2,Lower Case Letters
5,memory,1,,1,Upper Case Letters
6,memory,2,,2,Lower Case Letters
7,match_the_following,1,,1,Upper Case Letters
8,match_the_following,2,,2,Lower Case Letters
9,order_it,1,,1,Upper Case Letters
10,order_it,2,,2,Lower Case Letters
11,true_or_false,1,2,,Upper Case Letter to Lower Case Letter
12,true_or_false,2,3,,Letter to Word
13,casino,1,,6,Fruits
14,fill_in_the_blanks,1,,6,Fruits
15,calculate_numbers,1,7,,Single digit addition without carry
16,calculate_numbers,2,8,,Single digit addition with carry
17,calculate_numbers,3,9,,Double digit addition without carry
18,calculate_numbers,4,10,,Double digit addition with carry
19,calculate_numbers,5,11,,Triple digit addition without carry
20,calculate_numbers,6,12,,Triple digit addition with carry
21,calculate_numbers,7,13,,Single digit subtraction without borrow
22,calculate_numbers,8,15,,Double digit subtraction without borrow
23,calculate_numbers,9,16,,Double digit subtraction with borrow
24,calculate_numbers,10,17,,Triple digit subtraction without borrow
25,calculate_numbers,11,18,,Triple digit subtraction with borrow
26,calculate_numbers,12,19,,Single digit multiplication
27,calculate_numbers,13,20,,Single digit with double digit multiplication
28,calculate_numbers,14,21,,Double digit multiplication
29,tables,1,22,,1 Tables
30,tables,2,23,,2 Tables
31,tables,3,24,,3 Tables
32,tables,4,25,,4 Tables
33,tables,5,26,,5 Tables
34,tables,6,27,,6 Tables
35,tables,7,28,,7 Tables
36,tables,8,29,,8 Tables
37,tables,9,30,,9 Tables
38,abacus,1,7,,Single digit addition without carry
39,abacus,2,8,,Single digit addition with carry
40,abacus,3,9,,Double digit addition without carry
41,abacus,4,10,,Double digit addition with carry
42,abacus,5,11,,Triple digit addition without carry
43,abacus,6,12,,Triple digit addition with carry
44,abacus,7,13,,Single digit subtraction without borrow
45,abacus,8,15,,Double digit subtraction without borrow
46,abacus,9,16,,Double digit subtraction with borrow
47,abacus,10,17,,Triple digit subtraction without borrow
48,abacus,11,18,,Triple digit subtraction with borrow
49,fill_number,1,32,,1
50,fill_number,2,33,,2
51,fill_number,3,34,,3
52,fill_number,4,35,,4
53,fill_number,5,36,,5
54,fill_number,6,37,,6
55,fill_number,7,38,,7
56,fill_number,8,39,,8
57,fill_number,9,40,,9
58,multiple_choice,1,,1,Upper Case Letters
59,multiple_choice,2,,2,Lower Case Letters
60,multiple_choice,3,3,,Letter to Word
61,tap_wrong,1,3,,Words
62,tap_wrong,2,,6,Fruits
63,connect_the_dots,1,42,,0-9
64,connect_the-dots,2,43,,0-99
65,tap_home,1,42,,0-9
66,tap_home,2,43,,0-99
67,tap_home,3,,1,Upper Case Letters
68,tap_home,4,,2,Lower Case Letters
69,wordgrid,1,3,,Words
70,wordgrid,2,,6,Fruits
