id,lessonId,seq,subjectUnitId,objectUnitId,highlight
1,1,1,1,1,
10,2,2,10,10,
100,10,9,14,649,
1000,79,12,4,306,
1001,80,1,5,370,
1002,80,2,6,381,
1003,80,3,7,441,
1004,80,4,8,479,
1005,80,5,5,347,
1006,80,6,6,387,
1007,80,7,7,437,
1008,80,8,8,488,
1009,80,9,5,367,
101,10,10,15,672,
1010,80,10,6,394,
1011,80,11,7,439,
1012,80,12,8,504,
1013,81,1,9,528,
1014,81,2,10,534,
1015,81,3,11,542,
1016,81,4,12,560,
1017,81,5,13,608,
1018,81,6,9,521,
1019,81,7,10,537,
102,10,11,16,705,
1020,81,8,11,546,
1021,81,9,12,571,
1022,81,10,13,614,
1023,81,11,9,524,
1024,81,12,10,540,
1025,81,13,11,544,
1026,81,14,12,555,
1027,81,15,13,620,
1028,82,1,14,662,
1029,82,2,15,668,
103,10,12,17,767,
1030,82,3,16,719,
1031,82,4,17,766,
1032,82,5,14,655,
1033,82,6,15,679,
1034,82,7,16,722,
1035,82,8,17,767,
1036,82,9,14,651,
1037,82,10,15,685,
1038,82,11,16,725,
1039,82,12,17,769,
104,11,1,18,778,
1040,83,1,18,820,
1041,83,2,19,864,
1042,83,3,20,987,
1043,83,4,21,1037,
1044,83,5,18,791,
1045,83,6,19,865,
1046,83,7,20,991,
1047,83,8,21,1035,
1048,83,9,18,796,
1049,83,10,19,867,
105,11,2,19,840,
1050,83,11,20,993,
1051,83,12,21,1033,
1052,84,1,22,1039,
1053,84,2,23,1050,
1054,84,3,24,1084,
1055,84,4,25,1088,
1056,84,5,26,1091,
1057,84,6,22,1044,
1058,84,7,23,1052,
1059,84,8,24,1084,
106,11,3,20,971,
1060,84,9,25,1085,
1061,84,10,26,1091,
1062,84,11,22,1046,
1063,84,12,23,1053,
1064,84,13,24,1084,
1065,84,14,25,1086,
1066,84,15,26,1091,
1067,85,1,27,72,
1068,85,2,28,110,
1069,85,3,29,216,
107,11,4,21,1037,
1070,85,4,30,310,
1071,85,5,27,62,
1072,85,6,28,116,
1073,85,7,29,219,
1074,85,8,30,311,
1075,85,9,27,81,
1076,85,10,28,122,
1077,85,11,29,220,
1078,85,12,30,312,
1079,86,1,31,342,
108,11,5,18,819,
1080,86,2,32,396,
1081,86,3,33,440,
1082,86,4,34,507,
1083,86,5,31,356,
1084,86,6,32,414,
1085,86,7,33,442,
