id,lessonId,seq,subjectUnitId,objectUnitId,highlight
1,1,1,A,A,
2,1,2,B,B,
3,1,3,C,C,
4,1,4,D,D,
5,1,5,E,E,
6,1,6,F,F,
7,1,7,G,G,
8,1,8,H,H,
9,1,9,I,I,
10,1,10,J,J,
11,1,11,K,K,
12,1,12,L,L,
13,1,13,M,M,
14,1,14,N,N,
15,1,15,O,O,
16,1,16,P,P,
17,1,17,Q,Q,
18,1,18,R,R,
19,1,19,S,S,
20,1,20,T,T,
21,1,21,U,U,
22,1,22,V,V,
23,1,23,W,W,
24,1,24,X,X,
25,1,25,Y,Y,
26,1,26,Z,Z,
27,2,1,a,a,
28,2,2,b,b,
29,2,3,c,c,
30,2,4,d,d,
31,2,5,e,e,
32,2,6,f,f,
33,2,7,g,g,
34,2,8,h,h,
35,2,9,i,i,
36,2,10,j,j,
37,2,11,k,k,
38,2,12,l,l,
39,2,13,m,m,
40,2,14,n,n,
41,2,15,o,o,
42,2,16,p,p,
43,2,17,q,q,
44,2,18,r,r,
45,2,19,s,s,
46,2,20,t,t,
47,2,21,u,u,
48,2,22,v,v,
49,2,23,w,w,
50,2,24,x,x,
51,2,25,y,y,
52,2,26,z,z,
53,3,1,A,a,
54,3,2,B,b,
55,3,3,C,c,
56,3,4,D,d,
57,3,5,E,e,
58,3,6,F,f,
59,3,7,G,g,
60,3,8,H,h,
61,3,9,I,i,
62,3,10,J,j,
63,3,11,K,k,
64,3,12,L,l,
65,3,13,M,m,
66,3,14,N,n,
67,3,15,O,o,
68,3,16,P,p,
69,3,17,Q,q,
70,3,18,R,r,
71,3,19,S,s,
72,3,20,T,t,
73,3,21,U,u,
74,3,22,V,v,
75,3,23,W,w,
76,3,24,X,x,
77,3,25,Y,y,
78,3,26,Z,z,
79,4,1,A,accept,
80,4,2,A,accident,
81,4,3,A,account,
82,4,4,A,accused,
83,4,5,A,accuser,
84,4,6,A,act,
85,4,7,A,action,
86,4,8,A,add,
87,4,1,B,baboon,
88,4,2,B,back,
89,4,3,B,bag,
90,4,4,B,bags,
91,4,5,B,bald,
92,4,6,B,ban,
93,4,7,B,banana,
94,4,8,B,band,
95,4,1,C,cabbage,
96,4,2,C,cafe,
97,4,3,C,cake,
98,4,4,C,call,
99,4,5,C,camel,
100,4,6,C,camera,
101,4,7,C,camp,
102,4,8,C,cancel,
103,4,1,D,daisy,
104,4,2,D,dancer,
105,4,3,D,daughter,
106,4,4,D,day,
107,4,5,D,death,
108,4,6,D,debate,
109,4,7,D,deer,
110,4,8,D,defender,
111,4,1,E,eagle,
112,4,2,E,ear,
113,4,3,E,earnings,
114,4,4,E,earth,
115,4,5,E,eat,
116,4,6,E,education,
117,4,7,E,eggs,
118,4,8,E,eighty,
119,4,1,F,face,
120,4,2,F,faith,
121,4,3,F,family,
122,4,4,F,fan,
123,4,5,F,fashion,
124,4,6,F,fat,
125,4,7,F,father,
126,4,8,F,fatigue,
127,4,1,G,gangster,
128,4,2,G,gateway,
129,4,3,G,gauge,
130,4,4,G,general,
131,4,5,G,geography,
132,4,6,G,geology,
133,4,7,G,geometry,
134,4,8,G,gift,
135,4,1,H,hair,
136,4,2,H,half,
137,4,3,H,hammer,
138,4,4,H,hand,
139,4,5,H,handicap,
140,4,6,H,happy,
141,4,7,H,hat,
142,4,8,H,head,
143,4,1,I,ice,
144,4,2,I,idiot,
145,4,3,I,imitate,
146,4,4,I,importance,
147,4,5,I,inclusion,
