id,name,type,image,sound,phonemeSound
1,A,1,,eng/audio/a.ogg,eng/audio/a.ogg
2,B,1,,eng/audio/b.ogg,eng/audio/b.ogg
3,C,1,,eng/audio/c.ogg,eng/audio/c.ogg
4,D,1,,eng/audio/d.ogg,eng/audio/d.ogg
5,E,1,,eng/audio/e.ogg,eng/audio/e.ogg
6,F,1,,eng/audio/f.ogg,eng/audio/f.ogg
7,G,1,,eng/audio/g.ogg,eng/audio/g.ogg
8,H,1,,eng/audio/h.ogg,eng/audio/h.ogg
9,I,1,,eng/audio/i.ogg,eng/audio/i.ogg
10,J,1,,eng/audio/j.ogg,eng/audio/j.ogg
11,K,1,,eng/audio/k.ogg,eng/audio/k.ogg
12,L,1,,eng/audio/l.ogg,eng/audio/l.ogg
13,M,1,,eng/audio/m.ogg,eng/audio/m.ogg
14,N,1,,eng/audio/n.ogg,eng/audio/n.ogg
15,O,1,,eng/audio/o.ogg,eng/audio/o.ogg
16,P,1,,eng/audio/p.ogg,eng/audio/p.ogg
17,Q,1,,eng/audio/q.ogg,eng/audio/q.ogg
18,R,1,,eng/audio/r.ogg,eng/audio/r.ogg
19,S,1,,eng/audio/s.ogg,eng/audio/s.ogg
20,T,1,,eng/audio/t.ogg,eng/audio/t.ogg
21,U,1,,eng/audio/u.ogg,eng/audio/u.ogg
22,V,1,,eng/audio/v.ogg,eng/audio/v.ogg
23,W,1,,eng/audio/w.ogg,eng/audio/w.ogg
24,X,1,,eng/audio/x.ogg,eng/audio/x.ogg
25,Y,1,,eng/audio/y.ogg,eng/audio/y.ogg
26,Z,1,,eng/audio/z.ogg,eng/audio/z.ogg
27,a,1,,eng/audio/a.ogg,eng/audio/a.ogg
28,b,1,,eng/audio/b.ogg,eng/audio/b.ogg
29,c,1,,eng/audio/c.ogg,eng/audio/c.ogg
30,d,1,,eng/audio/d.ogg,eng/audio/d.ogg
31,e,1,,eng/audio/e.ogg,eng/audio/e.ogg
32,f,1,,eng/audio/f.ogg,eng/audio/f.ogg
33,g,1,,eng/audio/g.ogg,eng/audio/g.ogg
34,h,1,,eng/audio/h.ogg,eng/audio/h.ogg
35,i,1,,eng/audio/i.ogg,eng/audio/i.ogg
36,j,1,,eng/audio/j.ogg,eng/audio/j.ogg
37,k,1,,eng/audio/k.ogg,eng/audio/k.ogg
38,l,1,,eng/audio/l.ogg,eng/audio/l.ogg
39,m,1,,eng/audio/m.ogg,eng/audio/m.ogg
40,n,1,,eng/audio/n.ogg,eng/audio/n.ogg
41,o,1,,eng/audio/o.ogg,eng/audio/o.ogg
