id,name,type,image,sound,phonemeSound
A,A,1,,eng/audio/a.ogg,eng/audio/a.ogg
B,B,1,,eng/audio/b.ogg,eng/audio/b.ogg
C,C,1,,eng/audio/c.ogg,eng/audio/c.ogg
D,D,1,,eng/audio/d.ogg,eng/audio/d.ogg
E,E,1,,eng/audio/e.ogg,eng/audio/e.ogg
F,F,1,,eng/audio/f.ogg,eng/audio/f.ogg
G,G,1,,eng/audio/g.ogg,eng/audio/g.ogg
H,H,1,,eng/audio/h.ogg,eng/audio/h.ogg
I,I,1,,eng/audio/i.ogg,eng/audio/i.ogg
J,J,1,,eng/audio/j.ogg,eng/audio/j.ogg
K,K,1,,eng/audio/k.ogg,eng/audio/k.ogg
L,L,1,,eng/audio/l.ogg,eng/audio/l.ogg
M,M,1,,eng/audio/m.ogg,eng/audio/m.ogg
N,N,1,,eng/audio/n.ogg,eng/audio/n.ogg
O,O,1,,eng/audio/o.ogg,eng/audio/o.ogg
P,P,1,,eng/audio/p.ogg,eng/audio/p.ogg
Q,Q,1,,eng/audio/q.ogg,eng/audio/q.ogg
R,R,1,,eng/audio/r.ogg,eng/audio/r.ogg
S,S,1,,eng/audio/s.ogg,eng/audio/s.ogg
T,T,1,,eng/audio/t.ogg,eng/audio/t.ogg
U,U,1,,eng/audio/u.ogg,eng/audio/u.ogg
V,V,1,,eng/audio/v.ogg,eng/audio/v.ogg
W,W,1,,eng/audio/w.ogg,eng/audio/w.ogg
X,X,1,,eng/audio/x.ogg,eng/audio/x.ogg
Y,Y,1,,eng/audio/y.ogg,eng/audio/y.ogg
Z,Z,1,,eng/audio/z.ogg,eng/audio/z.ogg
a,a,1,,eng/audio/a.ogg,eng/audio/a.ogg
b,b,1,,eng/audio/b.ogg,eng/audio/b.ogg
c,c,1,,eng/audio/c.ogg,eng/audio/c.ogg
d,d,1,,eng/audio/d.ogg,eng/audio/d.ogg
e,e,1,,eng/audio/e.ogg,eng/audio/e.ogg
f,f,1,,eng/audio/f.ogg,eng/audio/f.ogg
g,g,1,,eng/audio/g.ogg,eng/audio/g.ogg
h,h,1,,eng/audio/h.ogg,eng/audio/h.ogg
i,i,1,,eng/audio/i.ogg,eng/audio/i.ogg
j,j,1,,eng/audio/j.ogg,eng/audio/j.ogg
k,k,1,,eng/audio/k.ogg,eng/audio/k.ogg
l,l,1,,eng/audio/l.ogg,eng/audio/l.ogg
m,m,1,,eng/audio/m.ogg,eng/audio/m.ogg
n,n,1,,eng/audio/n.ogg,eng/audio/n.ogg
o,o,1,,eng/audio/o.ogg,eng/audio/o.ogg
p,p,1,,eng/audio/p.ogg,eng/audio/p.ogg
q,q,1,,eng/audio/q.ogg,eng/audio/q.ogg
r,r,1,,eng/audio/r.ogg,eng/audio/r.ogg
s,s,1,,eng/audio/s.ogg,eng/audio/s.ogg
t,t,1,,eng/audio/t.ogg,eng/audio/t.ogg
u,u,1,,eng/audio/u.ogg,eng/audio/u.ogg
v,v,1,,eng/audio/v.ogg,eng/audio/v.ogg
w,w,1,,eng/audio/w.ogg,eng/audio/w.ogg
x,x,1,,eng/audio/x.ogg,eng/audio/x.ogg
