id,name,type,image,sound,phonemeSound
A,A,7,,assets/dict/a.ogg,assets/dict/a.ogg
B,B,7,,assets/dict/b.ogg,assets/dict/b.ogg
C,C,7,,assets/dict/c.ogg,assets/dict/c.ogg
D,D,7,,assets/dict/d.ogg,assets/dict/d.ogg
E,E,7,,assets/dict/e.ogg,assets/dict/e.ogg
F,F,7,,assets/dict/f.ogg,assets/dict/f.ogg
G,G,7,,assets/dict/g.ogg,assets/dict/g.ogg
H,H,7,,assets/dict/h.ogg,assets/dict/h.ogg
I,I,7,,assets/dict/i.ogg,assets/dict/i.ogg
J,J,7,,assets/dict/j.ogg,assets/dict/j.ogg
K,K,7,,assets/dict/k.ogg,assets/dict/k.ogg
L,L,7,,assets/dict/l.ogg,assets/dict/l.ogg
M,M,7,,assets/dict/m.ogg,assets/dict/m.ogg
N,N,7,,assets/dict/n.ogg,assets/dict/n.ogg
O,O,7,,assets/dict/o.ogg,assets/dict/o.ogg
P,P,7,,assets/dict/p.ogg,assets/dict/p.ogg
Q,Q,7,,assets/dict/q.ogg,assets/dict/q.ogg
R,R,7,,assets/dict/r.ogg,assets/dict/r.ogg
S,S,7,,assets/dict/s.ogg,assets/dict/s.ogg
T,T,7,,assets/dict/t.ogg,assets/dict/t.ogg
U,U,7,,assets/dict/u.ogg,assets/dict/u.ogg
V,V,7,,assets/dict/v.ogg,assets/dict/v.ogg
W,W,7,,assets/dict/w.ogg,assets/dict/w.ogg
X,X,7,,assets/dict/x.ogg,assets/dict/x.ogg
Y,Y,7,,assets/dict/y.ogg,assets/dict/y.ogg
Z,Z,7,,assets/dict/z.ogg,assets/dict/z.ogg
a,a,6,,assets/dict/a.ogg,assets/dict/a.ogg
b,b,6,,assets/dict/b.ogg,assets/dict/b.ogg
c,c,6,,assets/dict/c.ogg,assets/dict/c.ogg
d,d,6,,assets/dict/d.ogg,assets/dict/d.ogg
e,e,6,,assets/dict/e.ogg,assets/dict/e.ogg
f,f,6,,assets/dict/f.ogg,assets/dict/f.ogg
g,g,6,,assets/dict/g.ogg,assets/dict/g.ogg
h,h,6,,assets/dict/h.ogg,assets/dict/h.ogg
i,i,6,,assets/dict/i.ogg,assets/dict/i.ogg
j,j,6,,assets/dict/j.ogg,assets/dict/j.ogg
k,k,6,,assets/dict/k.ogg,assets/dict/k.ogg
l,l,6,,assets/dict/l.ogg,assets/dict/l.ogg
m,m,6,,assets/dict/m.ogg,assets/dict/m.ogg
n,n,6,,assets/dict/n.ogg,assets/dict/n.ogg
o,o,6,,assets/dict/o.ogg,assets/dict/o.ogg
p,p,6,,assets/dict/p.ogg,assets/dict/p.ogg
q,q,6,,assets/dict/q.ogg,assets/dict/q.ogg
r,r,6,,assets/dict/r.ogg,assets/dict/r.ogg
s,s,6,,assets/dict/s.ogg,assets/dict/s.ogg
t,t,6,,assets/dict/t.ogg,assets/dict/t.ogg
u,u,6,,assets/dict/u.ogg,assets/dict/u.ogg
v,v,6,,assets/dict/v.ogg,assets/dict/v.ogg
w,w,6,,assets/dict/w.ogg,assets/dict/w.ogg
x,x,6,,assets/dict/x.ogg,assets/dict/x.ogg
y,y,6,,assets/dict/y.ogg,assets/dict/y.ogg
z,z,6,,assets/dict/z.ogg,assets/dict/z.ogg
broom,broom,4,assets/dict/broom.png,assets/dict/broom.ogg,assets/dict/broom.ogg
kind,kind,4,assets/dict/kind.png,assets/dict/kind.ogg,assets/dict/kind.ogg
pilot,pilot,4,assets/dict/pilot.png,assets/dict/pilot.ogg,assets/dict/pilot.ogg
screw,screw,4,assets/dict/screw.png,assets/dict/screw.ogg,assets/dict/screw.ogg
ellipse,ellipse,4,assets/dict/ellipse.png,assets/dict/ellipse.ogg,assets/dict/ellipse.ogg
cherry,cherry,4,assets/dict/cherry.png,assets/dict/cherry.ogg,assets/dict/cherry.ogg
piranha,piranha,4,assets/dict/piranha.png,assets/dict/piranha.ogg,assets/dict/piranha.ogg
urn,urn,4,assets/dict/urn.png,assets/dict/urn.ogg,assets/dict/urn.ogg
jewel,jewel,4,assets/dict/jewel.png,assets/dict/jewel.ogg,assets/dict/jewel.ogg
hut,hut,4,assets/dict/hut.png,assets/dict/hut.ogg,assets/dict/hut.ogg
love,love,4,assets/dict/love.png,assets/dict/love.ogg,assets/dict/love.ogg
chinchilla,chinchilla,4,assets/dict/chinchilla.png,assets/dict/chinchilla.ogg,assets/dict/chinchilla.ogg
hyacinth,hyacinth,4,assets/dict/hyacinth.png,assets/dict/hyacinth.ogg,assets/dict/hyacinth.ogg
yams,yams,4,assets/dict/yams.png,assets/dict/yams.ogg,assets/dict/yams.ogg
bedroom,bedroom,4,assets/dict/bedroom.png,assets/dict/bedroom.ogg,assets/dict/bedroom.ogg
