abiria,passenger
abudu,worship
achari,spice
adhabu,punishment
adhibu,punish
adui,enemy
afiki,appease
afya,health
ahali,wife
ajabu,wonder
ajali,accident
ajira,employment
akaunti,account
akili,brawn
alama,mark
albamu,album
almasi,diamond
amri,command
andazi,doughnut
andiko,writing
anwani,address
aproni,apron
ardhi,sibala
asali,honey
ashiria,warn
asilimia,percentage
askari,guard
baba,father
babu,grandfather
bahari,sea
baharia,sailor
bahasha,envelope
bajeti,budget
bakuli,bowl
balagha,rhetorical
balozi,ambassador
bambika,excitement
bana,squeeze
bandari,port
bao,goal
baraka,blessing
basi,therefore
bata,duck
bega,shoulder
bei,price
bendi,band
benki,bank
beseni,basin
bibi,lady
bidii,work
bikira,virgin
bilioni,billion
binadamu,human
binamu,cousin
bingwa,hero
binti,daughter
biskuti,biscuit
boma,home
bonde,valley
bondia,boxer
bonyeza,dial
bora,better
buibui,spider
buluu,blue
buni,berry
burudani,entertainment
buyu,calabash
chache,less
chaguo,choice
chai,tea
chaki,ant
chakula,food
chama,party
chanjo,vaccine
chanzo,cause
chapa,logo
chati,chart
chawa,louse
cheche,spark
cheki,cheque
chembe,arrow
chenza,tangerine
cheo,rank
chesi,chess
chifu,chief
chini,down
chipukizi,seedling
chokoleti,chocolate
choma,burn
chombo,tool
choo,toilet
chui,leopard
chumba,room
chumvi,salt
chungwa,orange
chuo,institution
chupi,underwear
chura,janitor
dagla,overcoat
daka,shelve
dakika,minute
daktari,doctor
damisi,cheerful
dampo,dump
darana,touch
darasa,classroom
dawa,medicine
dawati,desk
dazani,dozen
deki,mop
demokrasia,democracy
deni,credit
dereva,driver
dhahabu,gold
dhamana,value
dhambi,sin
dhidi,against
dhuluma,injustice
dibaji,introduction
digrii,degree
dikteta,dictator
dinari,archaic
dira,compass
dirisha,window
doa,spot
dola,dollar
doria,shift
duni,minimal
dunia,earth
elfu,thousand
elimu,education
eropleni,aeroplane
fahali,ox
fainali,final
falaki,astronomy
farakano,division
farasi,horse
fasiri,translation
fedha,silver
feri,ferry
fidia,ransom
filimbi,whistle
firauni,pharaoh
fisi,hyena
fizikia,physics
fomu,form
fremu,frame
friji,fridge
fua,wash
fujo,disorder
fuko,mole
fulusi,currency
fumbo,riddle
fundo,knot
funga,score
funzo,lesson
fusi,rubble
fuzu,qualify
ganda,peel
gavana,governor
gazeti,newspaper
gego,molar
geji,gauge
ghairi,cancel
ghala,granary
ghali,expensive
gharama,cost
gharika,flood
ghashi,fraud
godoro,mattress
gofu,ruins
goli,goalpost
gome,bark
goti,knee
gumu,hard
gura,go
hadhi,honour
hadithi,story
haja,need
haki,right
hakimu,magistrate
hamu,desire
handaki,trench
hanjamu,urge
haragwe,bean
haramia,pirate
harimuni,saxophone
hasara,loss
hata,even
hati,certificate
hatia,fault
hatua,step
hedhi,menstruation
hekima,wisdom
heko,congratulate
hekta,hectare
helikopta,helicopter
heshima,respect
hewa,air
hiari,choice
hidrojeni,hydrogen
hindi,maize
historia,history
hodari,stable
hoja,statement
hoji,interrogate
hongera,congratulation
hotuba,speech
huba,love
huduma,service
huruma,mercy
ibada,prayer
idara,department
idhini,permission
idhinisha,allow
ilani,warning
imani,faith
imara,strong
imarisha,stabilize
ini,liver
injili,gospel
injini,engine
ishi,live
ishirini,twenty
isimu,linguistics
itikadi,tradition
jagi,jug
jaja,daisy
jaji,judge
jaketi,jacket
jalada,file
jamaa,relative
jambo,occurence
jamhuri,state
jamiana,procreation
jamii,community
jana,yesterday
janga,disaster
jangili,gangster
jangwa,desert
jani,leaf
jarari,halyard
jaribio,test
jarida,magazine
jasho,sweat
jawabu,answer
jedwali,programme
jemu,jam
jenerali,general
jengo,building
jeraha,wound
jeshi,army
jeti,jet
jezi,jersey
jibini,cheese
jifu,carcas
jiji,city
jike,female
jiko,stove
jikoni,kitchen
jimbi,cockerel
jina,name
jinai,crime
jinamizi,nightmare
jini,gin
jino,tooth
jinsi,tooth
jinsia,sex
jiografia,geography
jiolojia,geology
jiometri,geometry
jioni,evening
jipu,boil
jirani,neighbour
