id,game,seq,conceptId,lessonId,name
1,calculate_numbers,1,7,,Kujumlisha 1
2,calculate_numbers,2,8,,Kujumlisha 2
3,calculate_numbers,3,9,,Kujumlisha 3
4,calculate_numbers,4,10,,Kujumlisha 4
5,calculate_numbers,5,11,,Kujumlisha 5
6,calculate_numbers,6,12,,Kujumlisha 6
7,calculate_numbers,7,13,,Kutoa 1
8,calculate_numbers,8,15,,Kutoa 2
9,calculate_numbers,9,16,,Kutoa 3
10,calculate_numbers,10,17,,Kutoa 4
11,calculate_numbers,11,18,,Kutoa 5
12,calculate_numbers,12,19,,Kuzidisha 1
15,tables,1,22,,Jedwali la kuzidisha 1
16,tables,2,23,,Jedwali la kuzidisha 2
17,tables,3,24,,Jedwali la kuzidisha 3
18,tables,4,25,,Jedwali la kuzidisha 4
19,tables,5,26,,Jedwali la kuzidisha 5
20,tables,6,27,,Jedwali la kuzidisha 6
21,tables,7,28,,Jedwali la kuzidisha 7
22,tables,8,29,,Jedwali la kuzidisha 8
23,tables,9,30,,Jedwali la kuzidisha 9
24,abacus,1,7,,Kujumlisha 1
25,abacus,2,8,,Kujumlisha 2
26,abacus,3,9,,Kujumlisha 3
27,abacus,4,10,,Kujumlisha 4
28,abacus,5,11,,Kujumlisha 5
29,abacus,6,12,,Kujumlisha 6
30,abacus,7,13,,Kutoa 1
31,abacus,8,15,,Kutoa 2
32,abacus,9,16,,Kutoa 3
33,abacus,10,17,,Kutoa 4
34,abacus,11,18,,Kutoa 5
35,fill_number,1,32,,1
36,fill_number,2,33,,2
37,fill_number,3,34,,3
38,fill_number,4,35,,4
39,fill_number,5,36,,5
40,fill_number,6,37,,6
41,fill_number,7,38,,7
42,fill_number,8,39,,8
43,fill_number,9,40,,9
44,connect_the_dots,1,42,,0-9
45,connect_the-dots,2,43,,0-99
46,tap_home,1,42,,0-9
47,tap_home,2,43,,0-99
