id,name,areaId
1,Herufi kubwa,1
2,Chini ya chini,1
3,Barua ya chini ya Neno,1
4,Orodha ya Neno,2
5,Barua ya Kuu ya Neno,1
6,Herufi ndogo,1
7,Kujumlisha 1,5
8,Kujumlisha 2,5
9,Kujumlisha 3,5
10,Kujumlisha 4,5
11,Kujumlisha 5,5
12,Kujumlisha 6,5
13,Kutoa 1,6
14,Kutoa 2,6
15,Kutoa 3,6
16,Kutoa 4,6
17,Kutoa 5,6
18,Kutoa 6,6
19,Kuzidisha 1,7
20,Kuzidisha 2,7
21,Kuzidisha 3,7
22,Jedwali la kuzidisha 1,8
23,Jedwali la kuzidisha 2,8
24,Jedwali la kuzidisha 3,8
25,Jedwali la kuzidisha 4,8
26,Jedwali la kuzidisha 5,8
27,Jedwali la kuzidisha 6,8
28,Jedwali la kuzidisha 7,8
29,Jedwali la kuzidisha 8,8
30,Jedwali la kuzidisha 9,8
31,Jedwali la kuzidisha 10,8
32,1,4
33,2,4
34,3,4
35,4,4
36,5,4
37,6,4
38,7,4
39,8,4
40,9,4
41,10,4
42,0-9,4
43,0-99,4
44,﻿a,2
45,Wanyama,2
46,Ndege,2
47,Matunda,2
48,Mboga za Majani,2
49,Sehemu za Mwili,2
50,Kichwa,2
51,Mkono,2
52,Viungo vya Ndani,2
53,Wadudu,2
54,Hisia,2
55,Nguo na Vifaa,2
56,Vinywaji,2
57,Mapishi,2
58,Vyombo,2
59,Nyumba,2
60,Samani,2
61,Matumizi,2
62,Jikoni,2
63,Sebule,2
64,Hali ya Hewa,2
65,Misimu,2
66,Muda,2
67,Rangi,2
68,Michezo Binafsi,2
69,Michezo ya Ndani,2
70,Michezo ya Timu,2
71,Zana,2
72,Vyombo vya Muziki,2
73,Kito cha Thamani,2
74,Magari,2
75,Maumbo ya Jiometri,2
76,Tarakilishi,2
77,Wanyama wa Baharini,2
78,Sanduku la Jiomentri,2
79,Majina ya msingi ya kawaida,2
80,Familia,2
81,Nafaka,2
82,Vifaa vya Bustani,2
