id,lessonId,seq,subjectUnitId,objectUnitId,highlight
1,1,1,A,A,
2,1,2,B,B,
3,1,3,C,C,
4,1,4,D,D,
5,1,5,E,E,
6,1,6,F,F,
7,1,7,G,G,
8,1,8,H,H,
9,1,9,I,I,
10,1,10,J,J,
11,1,11,K,K,
12,1,12,L,L,
13,1,13,M,M,
14,1,14,N,N,
15,1,15,O,O,
16,1,16,P,P,
17,1,17,R,R,
18,1,18,S,S,
19,1,19,T,T,
20,1,20,U,U,
21,1,21,V,V,
22,1,22,W,W,
23,1,23,Y,Y,
24,1,24,Z,Z,
25,2,1,a,a,
26,2,2,b,b,
27,2,3,c,c,
28,2,4,d,d,
29,2,5,e,e,
30,2,6,f,f,
31,2,7,g,g,
32,2,8,h,h,
33,2,9,i,i,
34,2,10,j,j,
35,2,11,k,k,
36,2,12,l,l,
37,2,13,m,m,
38,2,14,n,n,
39,2,15,o,o,
40,2,16,p,p,
41,2,17,r,r,
42,2,18,s,s,
43,2,19,t,t,
44,2,20,u,u,
45,2,21,v,v,
46,2,22,w,w,
47,2,23,y,y,
48,2,24,z,z,
49,3,1,A,a,
50,3,2,B,b,
51,3,3,C,c,
52,3,4,D,d,
53,3,5,E,e,
54,3,6,F,f,
55,3,7,G,g,
56,3,8,H,h,
57,3,9,I,i,
58,3,10,J,j,
59,3,11,K,k,
60,3,12,L,l,
61,3,13,M,m,
62,3,14,N,n,
63,3,15,O,o,
64,3,16,P,p,
65,3,17,R,r,
66,3,18,S,s,
67,3,19,T,t,
68,3,20,U,u,
69,3,21,V,v,
70,3,22,W,w,
71,3,23,Y,y,
72,3,24,Z,z,
73,4,1,A,ABUDU,
74,4,2,A,ACHARI,
75,4,3,A,ADHABU,
76,4,4,A,ADHIBU,
77,4,5,A,ADUI,
78,4,6,A,AFIKI,
79,4,7,A,AFYA,
80,4,8,A,AHALI,
81,5,1,B,BABA,
82,5,2,B,BABU,
83,5,3,B,BAHARI,
84,5,4,B,BAHARIA,
85,5,5,B,BAHASHA,
86,5,6,B,BAJETI,
87,5,7,B,BAKULI,
88,5,8,B,BALAGHA,
89,6,1,C,CHACHE,
90,6,2,C,CHAGUO,
91,6,3,C,CHAI,
92,6,4,C,CHAKI,
93,6,5,C,CHAKULA,
94,6,6,C,CHAMA,
95,6,7,C,CHANJO,
96,6,8,C,CHANZO,
97,7,1,D,DAGLA,
98,7,2,D,DAKA,
99,7,3,D,DAKIKA,
100,7,4,D,DAKTARI,
101,7,5,D,DAMISI,
102,7,6,D,DAMPO,
103,7,7,D,DARANA,
104,7,8,D,DARASA,
105,8,1,E,ELFU,
106,8,2,E,ELIMU,
107,8,3,E,EMBE,
108,8,4,E,EROPLENI,
109,9,1,F,FAHALI,
110,9,2,F,FAINALI,
111,9,3,F,FALAKI,
112,9,4,F,FARAKANO,
113,9,5,F,FARASI,
114,9,6,F,FASIRI,
115,9,7,F,FEDHA,
116,9,8,F,FERI,
117,10,1,G,GANDA,
118,10,2,G,GAVANA,
119,10,3,G,GAZETI,
120,10,4,G,GEGO,
121,10,5,G,GEJI,
122,10,6,G,GHAIRI,
123,10,7,G,GHALA,
124,10,8,G,GHALI,
125,11,1,H,HADHI,
126,11,2,H,HADITHI,
127,11,3,H,HAJA,
128,11,4,H,HAKI,
129,11,5,H,HAKIMU,
130,11,6,H,HAMU,
131,11,7,H,HANDAKI,
132,11,8,H,HANJAMU,
133,12,1,I,IBADA,
