accept,అంగీకరించాలి
accident,ప్రమాదంలో
account,ఖాతా
accused,ఆరోపణలు
accuser,ఫిర్యాది
act,చట్టం
action,చర్య
add,జోడించడానికి
address,చిరునామా
aeroplane,విమానం
against,వ్యతిరేకంగా
aged,పెద్దవారికి
agitator,చిలికే
aim,లక్ష్యం
aims,లక్ష్యాలు
air,ఎయిర్
album,ఆల్బమ్
allow,అనుమతిస్తాయి
ambassador,అంబాసిడర్
ancestor,పూర్వీకులు
anchor,యాంకర్
anger,కోపం
animal,జంతు
animals,జంతువులు
answer,సమాధానం
answers,సమాధానాలు
ant,చీమల
apparatus,ఉపకరణం
appease,బుజ్జగించడానికి
appropriate,తగిన
apron,ఆప్రాన్
archaic,ప్రాచీన
armies,సైన్యాలు
arms,చేతులు
army,ఆర్మీ
arrangement,అమరిక
arrow,బాణం
arrows,బాణాలు
article,వ్యాసం
artist,కళాకారుడు
artists,కళాకారులు
ash,యాష్
ashes,బూడిద
assessment,అంచనా
asset,ఆస్తి
assistant,అసిస్టెంట్
astronomy,ఖగోళశాస్త్రం
athletics,వ్యాయామ క్రీడలు
author,రచయిత
authority,అధికారం
authors,రచయితలు
baboon,బబూన్
baby,బేబీ
back,తిరిగి
backs,వెన్నుముక
bag,బ్యాగ్
bags,సంచులు
bald,బట్టతల
band,బ్యాండ్
bank,బ్యాంకు
bark,బెరడు
barrier,అడ్డంకి
basin,బేసిన్
basket,బుట్ట
bean,బీన్
beans,బీన్స్
bed,మం చం
bedbug,నల్లి
bell,బెల్
benefit,ప్రయోజనం
berry,బెర్రీ
better,మంచి
big,పెద్ద
billion,బిలియన్
bird,పక్షి
biscuit,బిస్కట్
blessing,వరం
blue,నీలం
bodies,శరీరాలు
body,శరీర
boil,వేసి
bone,ఎముక
bones,ఎముకలు
book,పుస్తకం
books,పుస్తకాలు
bother,ఇబ్బంది
boundaries,సరిహద్దులు
boundary,బౌండరీ
bowl,గిన్నె
boxer,బాక్సర్
boy,బాయ్
boys,అబ్బాయిలు
branch,శాఖ
branches,శాఖలు
bravery,శౌర్యం
brawn,బ్రాన్
bread,బ్రెడ్
breads,రొట్టెలు
budget,బడ్జెట్
buffalo,గేదె
building,భవనం
buildings,భవనాలు
burn,బర్న్
bush,బుష్
button,బటన్
cafe,కేఫ్
cake,కేక్
calabash,కాలాబాష్
calling,కాల్
camel,ఒంటె
camera,కెమెరా
camp,శిబిరంలో
campaign,ప్రచారంలో
cancel,రద్దు
cancer,కాన్సర్
cane,చెరకు
canoe,కానో
car,కారు
carbon,కార్బన్
card,కార్డ్
cardinal,కార్డినల్
carefully,జాగ్రత్తగా
carpenter,కార్పెంటర్
cars,కా ర్లు
cart,కార్ట్
case,కేసు
cassette,కేసెట్
cat,పిల్లి
cause,కారణం
celebration,వేడుక
certificate,సర్టిఫికేట్
chain,గొలుసు
chair,కుర్చీ
chairs,కుర్చీలు
charcoal,బొగ్గు
charges,ఆరోపణలు
chart,చార్ట్
cheerful,ఆనందకరమైన
cheese,చీజ్
chemistry,రసాయన శాస్త్రం
cheque,తనిఖీ
chess,చెస్
chest,ఛాతి
chick,చిక్
chicken,చికెన్
chief,చీఫ్
child,పిల్లల
chocolate,చాక్లెట్
choice,ఎంపిక
choir,గాయక
christmas,క్రిస్మస్
church,చర్చి
citizen,పౌరుడు
city,నగరం
clamp,బిగింపు
classroom,తరగతిలో
classrooms,తరగతి గదులు
clean,శుభ్రంగా
cleanliness,శుభ్రత
clinic,క్లినిక్
cloth,గుడ్డ
clouds,మేఘాలు
clown,విదూషకుడు
club,క్లబ్
coach,రైలు పెట్టె
coaches,కోచ్లు
coast,తీరం
coat,కోటు
cockerel,కోడి పిల్ల
coffee,కాఫీ
coin,నాణెం
collaboration,సహకారం
command,కమాండ్
commander,కమాండర్
commission,కమిషన్
commissioner,కమిషనర్
committee,కమిటీ
communication,కమ్యూనికేషన్
community,సంఘం
companies,కంపెనీలు
company,కంపెనీ
compass,దిక్సూచి
complaint,ఫిర్యాదు
complete,పూర్తి
conductor,కండక్టర్
congratulate,అభినందించేందుకు
congratulation,అభినందన
contestant,పోటీదారుడు
contests,పోటీలు
contract,ఒప్పందం
cook,కుక్
copper,రాగి
copy,కాపీని
corpse,శవం
corpses,శవాలు
correction,దిద్దుబాటు
cost,ఖరీదు
cotton,పత్తి
cough,దగ్గు
court,కోర్టు
cousin,బంధువు
crack,క్రాక్
crawl,క్రాల్
crease,క్రీజ్
creation,సృష్టి
credit,క్రెడిట్
crime,నేర
criminal,నేర
crocodile,మొసలి
cross,క్రాస్
crow,కాకి
crown,కిరీటం
cup,కప్
cupboard,అల్మరా
cups,కప్పులు
currency,కరెన్సీ
curse,శాపం
customer,కస్టమర్
customers,వినియోగదారులు
daisy,డైసీ
daughter,కుమార్తె
day,రోజు
death,మరణం
deaths,మరణాలు
debate,చర్చ
defender,డిఫెండర్
defenders,రక్షకులు
degree,డిగ్రీ
democracy,ప్రజాస్వామ్యం
deny,తిరస్కరించాలని
department,శాఖ
desert,ఎడారి
desire,కోరిక
desk,డెస్క్
dial,డయల్
